Artículo;Cantidad;Final;Costo;Neto;Margen;;;
;CONITO SIN CULPA;;;41,00 ;4.910,00 ;1.894,12 ;4.057,85 ;114,23 
;copos de maíz azucarados skarchitos 240g;;;1,00 ;120,00 ;56,61 ;99,17 ;75,19 
;Dos Corazones;;;106,00 ;8.255,00 ;3.698,00 ;6.822,32 ;84,49 
;Ferrero Rocher x3unids.;;;24,00 ;5.350,00 ;2.485,68 ;4.421,49 ;77,88 
;Gin Heraclito London Dry 750cc;;;2,00 ;2.850,00 ;1.480,00 ;2.355,37 ;59,15 
;Huevo kinder Celeste 20 grs;;;72,00 ;13.355,00 ;6.593,92 ;11.037,19 ;67,38 
;Huevo Kinder Joy;;;4,00 ;640,00 ;108,20 ;528,93 ;388,84 
7797394002453;Kinder joy x 2 caja;;;1,00 ;320,00 ;180,00 ;264,46 ;46,92 
7797394002453;Kinder sorpresa x 2 caja  niña;;;3,00 ;1.020,00 ;540,00 ;842,98 ;56,11 
;Kit Kat cappuccino;;;3,00 ;450,00 ;245,07 ;371,90 ;51,75 
;Kit Kat Dark;;;29,00 ;3.910,00 ;1.160,00 ;3.231,40 ;178,57 
;Kit Kat White;;;28,00 ;3.800,00 ;1.120,00 ;3.140,50 ;180,40 
;Licoritas felfort;;;11,00 ;825,00 ;363,44 ;681,82 ;87,60 
;Maní bañado arcor 35g;;;14,00 ;1.260,00 ;637,56 ;1.041,32 ;63,33 
;Mantecol clasico 111g;;;16,00 ;4.160,00 ;1.744,00 ;3.438,02 ;97,13 
;Milka  Leche 55 grs;;;42,00 ;10.950,00 ;5.013,00 ;9.049,59 ;80,52 
;milka  leger combinado 50g;;;13,00 ;3.670,00 ;1.898,00 ;3.033,06 ;59,80 
;milka almendras chocolarte 110g;;;9,00 ;4.140,00 ;2.259,00 ;3.421,49 ;51,46 
;Milka blanco 55g;;;28,00 ;7.300,00 ;3.604,00 ;6.033,06 ;67,40 
;Milka bobom oreo 19g;;;13,00 ;690,00 ;290,64 ;570,25 ;96,20 
;Milka castañas 55g;;;2,00 ;380,00 ;89,62 ;314,05 ;250,42 
;milka choco pause leche 45g;;;6,00 ;900,00 ;456,00 ;743,80 ;63,11 
;milka choco pause oreo 45g;;;6,00 ;920,00 ;456,00 ;760,33 ;66,74 
;Milka dulce de leche 67.5 grs;;;12,00 ;3.840,00 ;1.224,00 ;3.173,55 ;159,28 
;milka leche  20g;;;8,00 ;590,00 ;272,16 ;487,60 ;79,16 
;milka leche chocolate 110g;;;8,00 ;3.680,00 ;2.008,00 ;3.041,32 ;51,46 
;Milka Leger  Combinado 100g;;;1,00 ;390,00 ;75,66 ;322,31 ;326,00 
;Milka Leger Almendras 100g;;;3,00 ;1.200,00 ;568,98 ;991,74 ;74,30 
;Milka Leger Almendras 45G;;;19,00 ;4.800,00 ;2.489,00 ;3.966,94 ;59,38 
;milka leger almendras 50g;;;11,00 ;3.140,00 ;1.606,00 ;2.595,04 ;61,58 
;Milka Leger Combinado 45g;;;3,00 ;750,00 ;369,00 ;619,83 ;67,98 
;Milka Leger Leche 45 gr;;;3,00 ;750,00 ;128,01 ;619,83 ;384,21 
;milka leger leche 50g;;;3,00 ;870,00 ;438,00 ;719,01 ;64,16 
;Milka oreo blanco 55g;;;3,00 ;825,00 ;297,51 ;681,82 ;129,17 
;Moneda de chocolate Fel Fort;;;157,00 ;4.470,00 ;2.115,00 ;3.694,22 ;74,67 
;Paraguitas Fel Fort;;;58,00 ;3.400,00 ;1.160,00 ;2.809,92 ;142,23 
;Rocklets  40g;;;123,00 ;13.350,00 ;5.726,11 ;11.033,06 ;92,68 
;rocklets 20g;;;20,00 ;1.000,00 ;477,20 ;826,45 ;73,19 
;Shot Barra 90g;;;80,00 ;25.410,00 ;13.100,00 ;21.000,00 ;60,31 
;Shot chocolate blanco 35grs;;;2,00 ;300,00 ;151,04 ;247,93 ;64,15 
;Tableta Vauquita;;;11,00 ;550,00 ;92,84 ;454,55 ;389,60 
;Tofi Blanco 28 gr;;;7,00 ;990,00 ;451,36 ;818,18 ;81,27 
;Tofi Negro 28g;;;10,00 ;1.200,00 ;550,90 ;991,74 ;80,02 
;Tofi Negro 55g;;;3,00 ;630,00 ;348,69 ;520,66 ;49,32 
;Vizzio Bonafide chocolate 85g;;;17,00 ;3.060,00 ;1.340,62 ;2.528,93 ;88,64 
;Wolf IPA 473cc;;;4,00 ;960,00 ;0,00 ;960,00 ;0,00 
Total Rubro chocolates;2.123,00 ;332.050,00 ;153.969,17 ;275.820,33 ;79,14 ;;;
Cigarrillos (2);;;;;;;;
; luck Parisiennes Box 20;;;126,00 ;43.250,00 ;17.655,00 ;31.058,90 ;75,92 
;Achalay Menta Tabaco;;;4,00 ;720,00 ;360,00 ;595,04 ;65,29 
;Achalay Tabaco;;;39,00 ;7.610,00 ;3.210,48 ;6.289,26 ;95,90 
;Ala plus con glicerina;;;1,00 ;150,00 ;56,19 ;123,97 ;120,62 
;Barrita  Crowie yogurt frutilla;;;14,00 ;700,00 ;294,00 ;578,51 ;96,77 
;Camel 11;;;81,00 ;14.060,00 ;6.129,00 ;9.986,45 ;62,94 
;Camel Box 20;;;73,00 ;24.100,00 ;9.600,00 ;19.917,36 ;107,47 
;Camel KS 20;;;1,00 ;250,00 ;132,00 ;170,05 ;28,83 
;Chesterfield 10;;;48,00 ;6.975,00 ;187,20 ;5.006,78 ;2.574,56 
;Chesterfield fresh 10;;;39,00 ;5.510,00 ;152,10 ;3.938,10 ;2.489,15 
;Chesterfield fresh box;;;141,00 ;39.600,00 ;1.051,86 ;28.450,66 ;2.604,80 
;chesterfield ks 20;;;237,00 ;54.925,00 ;21.330,00 ;38.499,97 ;80,50 
;chesterfield red box;;;18,00 ;4.580,00 ;0,00 ;3.785,12 ;0,00 
;Cigarrillos Dolchester;;;32,00 ;4.250,00 ;1.736,56 ;3.512,40 ;102,26 
;cigarrillos eight box 20;;;3,00 ;300,00 ;219,00 ;300,00 ;36,99 
;Cigarrillos Suelto;;;7,00 ;105,00 ;56,00 ;86,78 ;54,96 
;Cigarrillos Suelto lucky;;;809,00 ;16.210,00 ;8.899,00 ;13.396,67 ;50,54 
;CIGARRILOS PIER BOX;;;806,00 ;109.910,00 ;39.961,48 ;90.834,71 ;127,31 
;Filtro de carton ocb virgin;;;1,00 ;60,00 ;28,75 ;49,59 ;72,48 
;Filtros de carton ocb;;;28,00 ;1.910,00 ;944,00 ;1.578,51 ;67,22 
;Filtros slim Gizeh;;;64,00 ;8.320,00 ;3.520,00 ;6.876,03 ;95,34 
;filtros slim size ymoking;;;29,00 ;4.350,00 ;2.146,00 ;3.595,04 ;67,52 
;Filtros smoking slim;;;22,00 ;3.800,00 ;1.611,98 ;3.140,50 ;94,82 
;L&M liggett myers forward;;;18,00 ;4.060,00 ;140,04 ;2.810,91 ;1.907,22 
;Liverpool;;;809,00 ;112.890,00 ;63.911,00 ;112.890,00 ;76,64 
;Liverpool mentolado;;;20,00 ;3.100,00 ;1.173,40 ;2.561,98 ;118,34 
;Lucky 12 Charged;;;4,00 ;600,00 ;392,00 ;495,87 ;26,50 
;Lucky Box 20 doble clic Charged;;;6,00 ;1.560,00 ;900,00 ;1.289,26 ;43,25 
;Lucky box convertible 20;;;972,00 ;278.730,00 ;104.143,00 ;230.355,35 ;121,19 
;lucky clic cool 12;;;848,00 ;134.830,00 ;62.160,00 ;98.008,92 ;57,67 
;Lucky silver 20ks;;;12,00 ;3.090,00 ;103,32 ;2.137,49 ;1.968,80 
;Lucky Strike 12;;;820,00 ;132.830,00 ;71.658,00 ;120.208,13 ;67,75 
;lucky Strike 20KS;;;28,00 ;8.790,00 ;3.173,36 ;7.264,46 ;128,92 
;Lucky Strike Box;;;197,00 ;61.880,00 ;29.902,00 ;56.000,00 ;87,28 
;Lucky Strike Convertibles Box;;;7,00 ;1.820,00 ;64,89 ;1.243,86 ;1.816,87 
;lucky Strike KS;;;43,00 ;11.320,00 ;3.595,66 ;9.355,37 ;160,19 
;Maquina para armar tonking size;;;3,00 ;870,00 ;156,00 ;719,01 ;360,90 
;Marlboro 10;;;255,00 ;46.520,00 ;20.400,00 ;42.099,54 ;106,37 
;Marlboro Box;;;558,00 ;191.260,00 ;86.490,00 ;158.066,12 ;82,76 
;Marlboro forest fusion 10 box;;;54,00 ;8.190,00 ;272,70 ;5.680,56 ;1.983,08 
;Marlboro fusion blast box;;;205,00 ;62.120,00 ;28.700,00 ;43.589,50 ;51,88 
;Marlboro Gold;;;278,00 ;92.230,00 ;45.533,00 ;83.466,06 ;83,31 
;MARLBORO KS;;;468,00 ;143.950,00 ;69.570,00 ;130.271,50 ;87,25 
;Marlboro shuffle 20 b0x;;;1,00 ;220,00 ;117,80 ;181,82 ;54,34 
;Marlboro Summer blast;;;9,00 ;2.800,00 ;1.179,00 ;2.001,88 ;69,79 
;OCB negros;;;185,00 ;21.180,00 ;9.386,15 ;17.504,13 ;86,49 
;Pañuelos Manhattan;;;102,00 ;3.330,00 ;170,34 ;3.330,00 ;1.854,91 
;papelillo premier;;;12,00 ;1.020,00 ;540,00 ;842,97 ;56,11 
;papelillo ymoking organico;;;44,00 ;4.150,00 ;1.716,00 ;3.429,75 ;99,87 
;Papelillos Cliper Negro;;;16,00 ;640,00 ;320,00 ;528,93 ;65,29 
;PAPELILLOS PIER CLASICO;;;171,00 ;9.400,00 ;3.762,00 ;7.768,59 ;106,50 
;Parliament Box;;;339,00 ;124.720,00 ;54.240,00 ;89.413,52 ;64,85 
;Paseo Sésamo;;;2,00 ;340,00 ;106,42 ;280,99 ;164,04 
;Philip Morris 10;;;436,00 ;74.180,00 ;26.596,00 ;58.403,34 ;119,59 
;Philip Morris Box;;;253,00 ;77.845,00 ;36.204,00 ;55.400,25 ;53,02 
;Philip Morris Caps 10;;;359,00 ;61.730,00 ;19.028,45 ;44.453,66 ;133,62 
;Philip Morris Caps Box;;;367,00 ;105.730,00 ;56.151,00 ;74.419,91 ;32,54 
;Philip Morris KS;;;835,00 ;234.570,00 ;129.647,00 ;212.280,56 ;63,74 
;Pier Box Mentolado;;;252,00 ;33.980,00 ;15.618,96 ;28.082,65 ;79,80 
;Promo marlboro vista garden fusion;;;6,00 ;1.960,00 ;0,00 ;1.960,00 ;0,00 
;Promo marlboro vista garden fusion + encendedor;;;9,00 ;1.620,00 ;0,00 ;1.620,00 ;0,00 
;Rolling machine maquina armar;;;3,00 ;1.740,00 ;761,07 ;1.438,02 ;88,95 
;Rothmans Box Largo;;;2,00 ;480,00 ;260,00 ;480,00 ;84,62 
;Rothmans ks mentolado;;;126,00 ;29.590,00 ;14.837,00 ;24.454,54 ;64,82 
;Rothmans Red ks Viceroy;;;31,00 ;6.640,00 ;1.171,03 ;4.586,04 ;291,62 
;Sativa celulosa uva;;;5,00 ;450,00 ;250,00 ;371,90 ;48,76 
;Shampoo sedal repuesto económico;;;1,00 ;150,00 ;82,28 ;123,97 ;50,66 
;Stanley Vainilla Tabaco;;;12,00 ;6.110,00 ;2.592,00 ;5.049,59 ;94,81 
;suelto economico (pier / liverpool);;;150,00 ;1.525,00 ;900,00 ;1.525,00 ;69,44 
;Tabaco Las Hojas Clasico 50g;;;59,00 ;13.420,00 ;6.320,88 ;11.090,91 ;75,46 
;tabaco las hojas premio sin adictivos 30g;;;45,00 ;18.720,00 ;7.281,45 ;15.471,07 ;112,47 
;Tabaco Lucky Galpao;;;11,00 ;4.870,00 ;963,60 ;4.024,79 ;317,68 
;Tabaco Lucky original;;;31,00 ;13.950,00 ;3.350,79 ;11.528,93 ;244,07 
;Tabaco Pacha Mama 30g;;;66,00 ;31.040,00 ;14.456,88 ;25.652,89 ;77,44 
;TABACO PIER NATURAL;;;6,00 ;1.500,00 ;0,00 ;1.500,00 ;0,00 
;tabaco red field vanilla;;;5,00 ;2.500,00 ;1.340,00 ;2.066,12 ;54,19 
;Tabaco Stanley 30g doble vainilla;;;6,00 ;2.910,00 ;1.244,58 ;2.404,96 ;93,23 
;Virginia Super Slim;;;65,00 ;22.760,00 ;1.335,85 ;16.190,58 ;1.112,01 
Total Rubro Cigarrillos;12.250,00 ;2.570.055,00 ;1.123.649,50 ;2.110.146,53 ;87,79 ;;;
coca cola (308);;;;;;;;
;.;;;17,00 ;1.480,00 ;638,69 ;1.223,14 ;91,51 
;Ades Durazno 1L;;;7,00 ;980,00 ;585,20 ;809,92 ;38,40 
;Ades Naranja 200 ml;;;18,00 ;1.245,00 ;528,91 ;1.028,93 ;94,54 
;Aquarius Manzana 500ml;;;1,00 ;130,00 ;43,00 ;107,44 ;149,86 
;Aquarius naranja 2.25l;;;2,00 ;340,00 ;183,46 ;280,99 ;53,16 
;Aquarius Naranja 500ml;;;10,00 ;1.490,00 ;630,00 ;1.231,40 ;95,46 
;Aquarius Pera 500ml;;;1,00 ;80,00 ;43,00 ;66,12 ;53,76 
;Aquarius pomelo 500cc;;;1,00 ;130,00 ;43,00 ;107,44 ;149,86 
;Aquarius Pomelo 500ml;;;23,00 ;3.090,00 ;1.420,58 ;2.553,72 ;79,77 
;Bon Aqua 1500 cc sin gas;;;40,00 ;6.170,00 ;3.837,20 ;5.099,17 ;32,89 
;Bon Aqua 2 L;;;5,00 ;850,00 ;259,95 ;702,48 ;170,24 
;Bon aqua 500 ml con gas;;;73,00 ;7.660,00 ;3.580,24 ;6.330,58 ;76,82 
;Bon Aqua 500cc;;;102,00 ;10.550,00 ;4.904,76 ;8.719,01 ;77,77 
;Bon Aqua con gas 1500cc;;;20,00 ;3.150,00 ;595,00 ;2.603,31 ;337,53 
;Bon aqua sin gas 2.5 lts Grande;;;6,00 ;1.080,00 ;330,24 ;892,56 ;170,28 
;cepita anana 1000cc botella;;;5,00 ;800,00 ;375,00 ;661,16 ;76,31 
;Cepita Botella 1.5 l Anana;;;2,00 ;500,00 ;101,70 ;413,22 ;306,32 
;Cepita Botella 1.5 l Durazno;;;27,00 ;7.010,00 ;2.106,00 ;5.793,39 ;175,09 
;Cepita Manzana 1000cc botella;;;1,00 ;220,00 ;38,14 ;181,82 ;376,71 
;Cepita Naranja Botella 1500cc;;;33,00 ;8.570,00 ;2.906,00 ;7.082,64 ;143,72 
;Coca Cola 1000 cc;;;106,00 ;22.100,00 ;7.070,00 ;18.264,47 ;158,34 
;Coca Cola 1250cc Retornable;;;326,00 ;68.895,00 ;33.818,54 ;56.224,05 ;66,25 
;Coca Cola 1500 cc;;;469,00 ;135.610,00 ;65.909,00 ;112.074,38 ;70,04 
;Coca Cola 1500cc light;;;18,00 ;4.140,00 ;2.070,00 ;3.421,49 ;65,29 
;Coca Cola 2.25cc;;;223,00 ;88.210,00 ;30.665,00 ;72.900,82 ;137,73 
;Coca Cola 350 cc;;;5,00 ;200,00 ;50,00 ;165,29 ;230,58 
;Coca Cola 500cc;;;533,00 ;68.500,00 ;25.744,00 ;56.611,58 ;119,90 
;Coca Cola Lata 310 cc;;;184,00 ;19.530,00 ;9.329,07 ;16.140,50 ;73,01 
;Coca Cola Light 2.25L;;;1,00 ;520,00 ;275,76 ;429,75 ;55,84 
;Coca Cola Mini Lata 220cc;;;37,00 ;2.630,00 ;606,10 ;2.173,55 ;258,61 
;coca cola retornable 2000;;;495,00 ;128.700,00 ;65.204,83 ;106.363,64 ;63,12 
;Coca Cola Retornable de 2.5 cc;;;16,00 ;4.540,00 ;2.080,00 ;3.752,07 ;80,39 
;Coca cola Zero 1500cc;;;235,00 ;65.850,00 ;32.479,00 ;54.421,49 ;67,56 
;Coca cola Zero 2L retornable;;;87,00 ;23.950,00 ;11.283,44 ;19.644,55 ;74,10 
;Coca Cola Zero de 2.25;;;101,00 ;39.320,00 ;13.935,00 ;32.495,87 ;133,20 
;Coca cola Zero lata 310 ml;;;82,00 ;8.160,00 ;4.062,50 ;6.743,80 ;66,00 
;Coca Cola Zero x 500 cc;;;231,00 ;29.950,00 ;10.857,00 ;24.752,07 ;127,98 
;Coca cola/Sprite/Fanta 237cc;;;1,00 ;70,00 ;34,39 ;57,85 ;68,22 
;Coca de 2.5L;;;15,00 ;5.400,00 ;0,00 ;5.400,00 ;0,00 
;Coca Ligth Lata 310 ml;;;1,00 ;120,00 ;52,73 ;99,17 ;88,08 
;Coca Zero 1250 Retornable;;;12,00 ;2.285,00 ;982,20 ;1.881,88 ;91,60 
;Crush Naranja 2.25L;;;6,00 ;1.560,00 ;738,00 ;1.289,26 ;74,70 
;Detergente Gigante 750cc;;;2,00 ;460,00 ;237,78 ;380,17 ;59,88 
;Fanta 1250cc Retornable;;;7,00 ;1.440,00 ;728,00 ;1.186,26 ;62,95 
;Fanta 1500cc;;;41,00 ;11.270,00 ;4.729,01 ;9.314,05 ;96,96 
;Fanta 2.25 L;;;4,00 ;1.360,00 ;720,00 ;1.123,97 ;56,11 
;Fanta 2L Retornable;;;8,00 ;2.230,00 ;788,00 ;1.829,29 ;132,14 
;Fanta 500 cc;;;40,00 ;5.220,00 ;2.340,00 ;4.314,05 ;84,36 
;Fanta lata 310;;;28,00 ;2.790,00 ;1.109,88 ;2.305,79 ;107,75 
;Fanta limon dulce 500ml;;;29,00 ;3.680,00 ;1.392,00 ;3.041,32 ;118,49 
;Fanta Zero1500cc;;;23,00 ;6.290,00 ;2.744,43 ;5.198,35 ;89,41 
;Powerade Frutas Tropicales 500cc;;;88,00 ;14.440,00 ;5.771,00 ;11.933,88 ;106,79 
;Powerade Manzana 500cc;;;19,00 ;3.120,00 ;1.544,00 ;2.578,51 ;67,00 
;Powerade Mountain Blast 500cc;;;80,00 ;12.520,00 ;5.470,00 ;10.347,11 ;89,16 
;Powerade Naranja 500cc;;;8,00 ;1.390,00 ;496,00 ;1.148,76 ;131,60 
;Schweppes Agua Tonica 1500 cc;;;30,00 ;8.980,00 ;3.719,30 ;7.421,49 ;99,54 
;Schweppes Agua Tónica Lata 310 ml;;;25,00 ;2.160,00 ;955,25 ;1.785,12 ;86,88 
;Schweppes Citrus 1500;;;5,00 ;1.250,00 ;664,05 ;1.033,06 ;55,57 
;Schweppes Pomelo 1.5 l;;;2,00 ;560,00 ;220,00 ;462,81 ;110,37 
;Schweppes Pomelo zero 1500cc;;;37,00 ;9.670,00 ;2.237,02 ;7.991,73 ;257,25 
;Schweppes pomelo zero 500;;;21,00 ;2.460,00 ;1.068,00 ;2.033,06 ;90,36 
;Sprite 1500cc;;;97,00 ;25.730,00 ;8.632,57 ;21.264,46 ;146,33 
;Sprite 2.25 l;;;48,00 ;17.490,00 ;6.816,00 ;14.454,54 ;112,07 
;Sprite 2000 cc Retornable;;;43,00 ;10.830,00 ;4.300,84 ;8.876,85 ;106,40 
;Sprite 500cc;;;110,00 ;14.180,00 ;6.360,00 ;11.719,01 ;84,26 
;Sprite lata 310 cc;;;38,00 ;3.770,00 ;1.491,98 ;3.115,70 ;108,83 
;Sprite Retornable 1250 cc;;;10,00 ;1.885,00 ;838,00 ;1.552,40 ;85,25 
;Sprite Zero 1500cc;;;17,00 ;4.390,00 ;995,01 ;3.628,10 ;264,63 
Total Rubro coca cola;4.438,00 ;945.330,00 ;406.764,75 ;781.235,78 ;92,06 ;;;
comida (30);;;;;;;;
;Adicional Bebida en la mesa;;;2.917,00 ;14.610,00 ;7.875,90 ;12.074,29 ;53,31 
;Café chico;;;15,00 ;1.500,00 ;75,00 ;1.239,67 ;1.552,89 
;Café doble o con leche;;;523,00 ;62.800,00 ;5.230,00 ;51.900,83 ;892,37 
;Café jarra;;;1.090,00 ;118.620,00 ;21.800,00 ;98.033,05 ;349,69 
;Café para llevar;;;339,00 ;46.870,00 ;2.373,00 ;38.735,54 ;1.532,34 
;Desayuno  para llevar con 2 facturas;;;27,00 ;4.050,00 ;405,00 ;3.347,11 ;726,45 
;Desayuno con 2 facturas/ 1 tostada;;;707,00 ;132.180,00 ;43.740,00 ;109.239,66 ;149,75 
;EMPANADAS;;;591,00 ;43.910,00 ;22.217,82 ;36.289,24 ;63,33 
;EMPANADAS X 2;;;68,00 ;10.040,00 ;5.261,60 ;8.297,52 ;57,70 
;FACTURAS 2 X;;;2,00 ;30,00 ;16,00 ;24,79 ;54,96 
;Facturas/Medialuna/Bizcocho;;;3.881,00 ;173.820,00 ;58.215,00 ;173.820,00 ;198,58 
;La salteña tapas para tarta  400g;;;2,00 ;410,00 ;197,46 ;338,84 ;71,60 
;Milkaut dulce de leche clásico 250g;;;8,00 ;1.660,00 ;814,00 ;1.371,90 ;68,54 
;pastafrola membrillo;;;2,00 ;360,00 ;152,00 ;297,52 ;95,74 
;PIZZA ESPECIAL/MUZZA/NAPO/CANTI/ROQUE;;;338,00 ;82.770,00 ;35.625,75 ;68.404,96 ;92,01 
;PIZZA GRANDE;;;3,00 ;660,00 ;270,00 ;545,45 ;102,02 
;Pulpi cafe;;;376,00 ;1.880,00 ;1.880,00 ;1.880,00 ;0,00 
Total Rubro comida;10.889,00 ;696.170,00 ;206.148,53 ;605.840,37 ;193,89 ;;;
encendedores (307);;;;;;;;
;Birome Bic Opaco;;;7,00 ;210,00 ;33,60 ;173,55 ;416,53 
9327800004825;Encendedor Candela;;;118,00 ;6.220,00 ;3.113,36 ;5.140,50 ;65,11 
;Encendedor clipper;;;56,00 ;10.400,00 ;2.912,00 ;8.595,04 ;195,16 
;encendedor fragata;;;21,00 ;945,00 ;495,54 ;780,99 ;57,60 
;Encendedor Maxi Bic;;;46,00 ;7.630,00 ;2.248,94 ;6.305,78 ;180,39 
;Encendedor maxi bic ROLLING STONE;;;20,00 ;3.570,00 ;1.725,00 ;2.950,41 ;71,04 
;ENCENDEDOR SHARK;;;109,00 ;6.590,00 ;2.475,50 ;5.446,28 ;120,01 
;Magiclick cocina chico;;;6,00 ;1.320,00 ;98,04 ;1.090,91 ;1.012,72 
;Mini bic;;;73,00 ;7.010,00 ;3.504,00 ;5.793,39 ;65,34 
Total Rubro encendedores;456,00 ;43.895,00 ;16.605,98 ;36.276,86 ;118,46 ;;;
energizantes (314);;;;;;;;
;energizante monster 473 cc;;;140,00 ;36.560,00 ;13.440,00 ;30.214,88 ;124,81 
;Monster Energy Ultra 473cc;;;34,00 ;9.280,00 ;3.272,00 ;7.669,42 ;134,40 
;Red Bull;;;24,00 ;6.780,00 ;3.204,96 ;5.603,31 ;74,83 
;Red Bull Grande 355ml;;;9,00 ;2.900,00 ;1.133,82 ;2.396,69 ;111,38 
;Red Bull sugar free;;;2,00 ;480,00 ;225,82 ;396,69 ;75,67 
;red bull tropical 250ml;;;20,00 ;4.780,00 ;2.385,40 ;3.950,41 ;65,61 
;Rockstar 500ml;;;94,00 ;12.600,00 ;6.173,36 ;10.413,22 ;68,68 
;Speed 500ML;;;158,00 ;36.480,00 ;15.520,80 ;34.513,64 ;122,37 
;Speed Chico 250cc;;;104,00 ;14.010,00 ;4.124,64 ;11.578,52 ;180,72 
Total Rubro energizantes;585,00 ;123.870,00 ;49.480,80 ;106.736,78 ;115,71 ;;;
galletitas (9);;;;;;;;
;9 de oro agridulces;;;11,00 ;1.375,00 ;616,00 ;1.136,36 ;84,47 
;9 de Oro Azucaradas 210 gr;;;34,00 ;3.990,00 ;1.733,00 ;3.297,52 ;90,28 
;Alem Malteadas 150g;;;5,00 ;550,00 ;93,05 ;454,55 ;388,50 
;Alem malteadas lino y chia 150g;;;1,00 ;110,00 ;59,00 ;90,91 ;54,08 
;alem queso;;;1,00 ;12,00 ;8,00 ;12,00 ;50,00 
;Barrita Crowie chocolate;;;9,00 ;450,00 ;189,00 ;371,90 ;96,77 
;Barrita Crowie chocolate blanco;;;3,00 ;150,00 ;63,00 ;123,97 ;96,77 
;barrita Crowie Coco;;;8,00 ;320,00 ;168,00 ;264,46 ;57,42 
;Barrita Crowie Marroc;;;4,00 ;160,00 ;84,00 ;132,23 ;57,42 
;Bizcochitos Alem Queso 170g;;;18,00 ;2.505,00 ;1.086,46 ;2.070,25 ;90,55 
;Bizcochos  Don Satur Dulce 200 gr;;;31,00 ;4.260,00 ;1.302,00 ;3.520,66 ;170,40 
;Bizcochos 9 de oro Agridulces 200g;;;59,00 ;6.470,00 ;2.458,00 ;5.347,11 ;117,54 
;Bizcochos 9 de Oro clásicas 200g;;;184,00 ;20.235,00 ;8.994,00 ;16.723,14 ;85,94 
;Bizcochos Alem Clasicos 170g;;;22,00 ;2.570,00 ;1.043,98 ;2.123,97 ;103,45 
;Bizcochos Alem x 190 gr;;;1,00 ;50,00 ;9,50 ;41,32 ;334,97 
;Bizcochos Campeon;;;2,00 ;240,00 ;118,74 ;198,35 ;67,04 
;Bizcochos Salados Don Satur 200 gr;;;93,00 ;11.940,00 ;5.214,00 ;9.867,77 ;89,26 
;Cereal mix galletita chocolate 180g;;;19,00 ;3.690,00 ;1.610,01 ;3.049,59 ;89,41 
;Cereal mix galletita manzana 180g;;;11,00 ;2.110,00 ;888,59 ;1.743,80 ;96,24 
;Cereal mix galletitas avena y pasas 180g;;;15,00 ;2.795,00 ;1.230,63 ;2.309,92 ;87,70 
7622201509231;Cerealitas Clasicas 200g;;;19,00 ;3.730,00 ;1.836,93 ;3.082,64 ;67,82 
;Chocolinas x 170g;;;39,00 ;6.250,00 ;2.743,01 ;5.165,29 ;88,31 
;Coquitas 170g;;;4,00 ;570,00 ;305,16 ;471,07 ;54,37 
;Criollitas Original x100g;;;23,00 ;1.500,00 ;598,00 ;1.239,67 ;107,30 
;Crunchips marroc 172g;;;2,00 ;240,00 ;100,00 ;198,35 ;98,35 
;Don Satur Dulces Negras;;;3,00 ;255,00 ;126,00 ;210,74 ;67,26 
;Dos hermanos galleta arroz saladas;;;10,00 ;1.000,00 ;511,30 ;826,45 ;61,64 
;Dos hermanos galletas de arroz dulces 100 g;;;4,00 ;400,00 ;207,20 ;330,58 ;59,55 
;Duquesa;;;4,00 ;360,00 ;129,24 ;297,52 ;130,21 
;Express Clasicas por 101 g;;;9,00 ;785,00 ;386,00 ;648,76 ;68,07 
;frutigram tropical 175g;;;4,00 ;1.000,00 ;0,00 ;975,61 ;0,00 
;Frutigran  Chips de Chocolate;;;21,00 ;4.230,00 ;1.953,00 ;3.495,87 ;79,00 
;Frutigran Avena y Pasas;;;25,00 ;5.430,00 ;2.325,00 ;4.487,60 ;93,02 
;Frutigran con Salvado;;;8,00 ;1.840,00 ;504,00 ;1.520,66 ;201,72 
;frutigran Semillas Chia y Lino;;;23,00 ;4.280,00 ;1.409,44 ;3.537,19 ;150,96 
;galleta de arroz dos hermanos sin sal 100g;;;12,00 ;1.200,00 ;588,00 ;991,74 ;68,66 
;Galletitas amor;;;14,00 ;1.580,00 ;627,46 ;1.305,79 ;108,11 
;galletitas club social original;;;6,00 ;255,00 ;134,00 ;210,74 ;57,27 
;Galletitas Mellizas;;;9,00 ;1.110,00 ;335,50 ;917,36 ;173,43 
;Galletitas Mini Pitusas 160g;;;8,00 ;880,00 ;346,60 ;727,27 ;109,83 
;Galletitas Mini Pitusas Chocolate 160 g;;;33,00 ;4.330,00 ;2.129,35 ;3.578,51 ;68,06 
;Galletitas Mini Pitusas Frutilla 160 g;;;26,00 ;3.270,00 ;1.589,00 ;2.702,48 ;70,07 
;Galletitas Mini Pitusas Limon 160 g;;;10,00 ;975,00 ;510,00 ;805,79 ;58,00 
;Galletitas Mini Pitusas Vainilla 160g;;;17,00 ;2.340,00 ;1.238,00 ;1.933,88 ;56,21 
;Galletitas Paseo Crackers;;;25,00 ;3.560,00 ;1.438,50 ;2.942,15 ;104,53 
;Gallo Bizcochos de Arroz Dulces x50g;;;15,00 ;1.200,00 ;480,00 ;991,74 ;106,61 
;Gallo Bizcochos de Arroz Salados x 50g;;;9,00 ;720,00 ;288,00 ;595,04 ;106,61 
;Gallo snacks tortita negra 50 grs;;;9,00 ;840,00 ;227,52 ;694,21 ;205,12 
