Artículo;Cantidad;Final;Costo;Neto;Margen;;;
;alfajor turimar blanco  60g;;;5,00 ;250,00 ;135,00 ;206,61 ;53,05 
;Alfajor Turimar negro;;;25,00 ;1.250,00 ;650,50 ;1.033,06 ;58,81 
;Alfajores Agrupados Jorgito Negro;;;3,00 ;630,00 ;339,00 ;520,66 ;53,59 
;Alfajores Jorgito Agrupados Blanco;;;1,00 ;210,00 ;113,22 ;173,55 ;53,29 
;Chocoarroz Dulce leche;;;22,00 ;1.825,00 ;923,30 ;1.508,27 ;63,36 
;Chocoarroz Marroc;;;14,00 ;1.260,00 ;630,00 ;1.041,32 ;65,29 
;Fantoche blanco x6;;;24,00 ;5.120,00 ;2.618,40 ;4.231,41 ;61,60 
;Fantoche Day;;;25,00 ;2.600,00 ;1.325,00 ;2.148,76 ;62,17 
;Fantoche negro por 6;;;25,00 ;5.290,00 ;2.727,50 ;4.371,90 ;60,29 
;Guaymallen Blanco;;;196,00 ;11.140,00 ;5.483,00 ;9.206,61 ;67,91 
;Guaymallen membrillo triple;;;58,00 ;3.590,00 ;1.566,00 ;2.966,94 ;89,46 
;Guaymallen Negro;;;258,00 ;14.770,00 ;7.259,00 ;12.206,61 ;68,16 
;guaymayen simple fruta 38g;;;11,00 ;525,00 ;143,00 ;433,88 ;203,42 
;La bustincera blanco;;;4,00 ;880,00 ;453,44 ;727,27 ;60,39 
;La bustincera chocolate;;;4,00 ;880,00 ;453,44 ;727,27 ;60,39 
;Levite Manzana 500;;;77,00 ;7.770,00 ;2.926,00 ;6.421,49 ;119,46 
;Levite Naranja 500c;;;78.605.898,00 ;7.860.589.900,00 ;2.987.024.124,00 ;6.496.353.080,50 ;117,49 
;MILKA MOOSE X3.;;;82,00 ;11.430,00 ;3.394,80 ;9.446,28 ;178,26 
;Milka Mousse Blanco x3;;;44,00 ;6.360,00 ;2.992,00 ;5.256,20 ;75,68 
;Sin Culpa alfajor blanco;;;30,00 ;3.820,00 ;0,00 ;3.820,00 ;0,00 
sin culpa;sin culpa mousse de chocolate;;;14,00 ;1.260,00 ;532,00 ;1.041,32 ;95,74 
;Tatin Simple Blanco;;;37,00 ;1.830,00 ;311,17 ;1.512,40 ;386,04 
;Tatin Simple Negro;;;39,00 ;1.990,00 ;1.025,70 ;1.644,63 ;60,34 
;Tatin Triple Negro;;;85,00 ;5.965,00 ;1.201,90 ;4.929,75 ;310,16 
;torta toffe;;;2,00 ;520,00 ;264,80 ;429,75 ;62,29 
;Vauquita Dulce de Leche (via dulce);;;35,00 ;3.145,00 ;1.050,00 ;2.599,17 ;147,54 
Total Rubro alfajores;78.608.670,00 ;7.860.862.895,00 ;2.987.132.480,57 ;6.496.579.359,18 ;117,49 ;;;
almacen (15);;;;;;;;
;aceite alsamar girasol 900ml;;;8,00 ;2.960,00 ;1.576,00 ;2.446,28 ;55,22 
;Aceite cocinero 900ml;;;35,00 ;10.740,00 ;3.889,55 ;8.876,03 ;128,20 
;Aceite LIRA  girasol 900ml;;;6,00 ;3.330,00 ;1.614,00 ;2.752,07 ;70,51 
;aceite Marolio 900ml;;;6,00 ;1.680,00 ;872,76 ;1.388,43 ;59,08 
;aceite natura  500cc;;;11,00 ;2.090,00 ;1.078,00 ;1.727,27 ;60,23 
;Aceitunas Barbera con caraozos 130 g;;;5,00 ;630,00 ;304,90 ;520,66 ;70,76 
;aceitunas marvavic descarozadas 200g;;;7,00 ;1.100,00 ;511,00 ;909,09 ;77,90 
;aceitunas marvavic rellenas 200g;;;3,00 ;510,00 ;237,18 ;421,49 ;77,71 
;aceitunas marvavic rodajas;;;3,00 ;390,00 ;213,06 ;322,31 ;51,28 
;aji molido  La canasta 25g;;;2,00 ;120,00 ;54,60 ;99,17 ;81,64 
;Alicante sabor en polvo gallina;;;11,00 ;350,00 ;108,24 ;289,26 ;167,24 
;Arroz Gallo Oro 500g;;;14,00 ;2.140,00 ;782,88 ;1.768,59 ;125,91 
;Arroz Lucchetti 500 gr;;;25,00 ;2.695,00 ;1.323,50 ;2.227,27 ;68,29 
;arroz molinos ala no se pasa ni se pega 500g;;;10,00 ;700,00 ;380,00 ;578,51 ;52,24 
;Arroz Trimacer 500 g;;;17,00 ;1.395,00 ;671,00 ;1.152,89 ;71,82 
;Atun desmenuzado al natural NOEL;;;2,00 ;400,00 ;198,00 ;330,58 ;66,96 
;Atun desmenuzado en aceite y agua NOEL;;;2,00 ;400,00 ;198,00 ;330,58 ;66,96 
;Atun Lomitos Al natural 170g;;;2,00 ;560,00 ;292,22 ;462,81 ;58,38 
;Atun Lomitos En Aceite 170g;;;3,00 ;840,00 ;438,33 ;694,22 ;58,38 
;azucar baity comun;;;28,00 ;3.670,00 ;1.732,60 ;3.033,06 ;75,06 
;azucar comun tipo A;;;1,00 ;80,00 ;50,00 ;66,12 ;32,23 
;azucar comun tipo A mat dulc 1kg;;;11,00 ;1.540,00 ;836,00 ;1.272,73 ;52,24 
;azucar comun tipo A sucre x 1 kgr;;;16,00 ;2.720,00 ;1.424,00 ;2.247,93 ;57,86 
;azucar fronterita;;;1,00 ;14,00 ;9,50 ;14,00 ;47,37 
;azucar Nutri comun tipo A;;;4,00 ;1.400,00 ;614,00 ;1.157,02 ;88,44 
;bahia sardinas en aceite y agua;;;2,00 ;480,00 ;196,32 ;323,57 ;64,82 
;Bengalitas de Cumpleños;;;2,00 ;120,00 ;13,00 ;120,00 ;823,08 
;Bimbo Hamburgesas lacteadao;;;1,00 ;180,00 ;65,00 ;148,76 ;128,86 
;Bimbo Pan tipo artesanal;;;13,00 ;5.030,00 ;2.376,00 ;4.157,02 ;74,96 
;bimbo pan tipo Artesano integral;;;1,00 ;700,00 ;292,00 ;578,51 ;98,12 
;biscochitos DADITOS cebolla.;;;2,00 ;200,00 ;104,78 ;165,29 ;57,75 
;bolsa residuo 50x70  30u;;;1,00 ;105,00 ;70,02 ;86,78 ;23,93 
;Bolsas de residuos 45x60;;;6,00 ;720,00 ;306,24 ;595,04 ;94,31 
;bombilla mensú;;;5,00 ;1.180,00 ;140,00 ;975,21 ;596,58 
;budin fantoche con frutas;;;2,00 ;320,00 ;147,04 ;264,46 ;79,86 
;budin fantoche con pepas de chocolate;;;3,00 ;480,00 ;219,00 ;396,69 ;81,14 
;budin fantoche sin fruta;;;3,00 ;480,00 ;216,00 ;396,69 ;83,65 
